,value,metric,type
0,0.9980500613860324,ade,ml
1,0.9130597463680138,ade,ml
2,1.048835782797972,ade,ml
3,3.4375744486238218,ade,ml
4,1.002237305280653,ade,ml
5,1.4521622690470837,ade,ml
6,1.8922630858777625,ade,ml
7,2.2083190233797434,ade,ml
8,3.7201938668048524,ade,ml
9,0.38970136345139883,ade,ml
10,0.8603168913926565,ade,ml
11,2.001494634601451,ade,ml
12,1.572352143649055,ade,ml
13,3.547031903525172,ade,ml
14,3.441596292979819,ade,ml
15,0.65706883422975,ade,ml
16,0.12116649173459433,ade,ml
17,1.5569986493224242,ade,ml
18,0.6349139732996787,ade,ml
19,1.4145589885677115,ade,ml
20,0.6906084880502182,ade,ml
21,0.07098855891024124,ade,ml
22,0.5083228346940994,ade,ml
23,3.732878549911387,ade,ml
24,0.9988203738742786,ade,ml
25,1.3502441868040282,ade,ml
26,0.17552479626233777,ade,ml
27,0.7148099339956876,ade,ml
28,1.8525464188501146,ade,ml
29,1.081027898619139,ade,ml
30,1.378341925372478,ade,ml
31,1.6353150498877256,ade,ml
32,0.3536469065800587,ade,ml
33,0.48236716992550255,ade,ml
34,1.908801632159473,ade,ml
35,2.0228778107232332,ade,ml
36,2.9205184064286187,ade,ml
37,3.1478691121327778,ade,ml
38,1.8044993903399413,ade,ml
39,0.4478131103618237,ade,ml
40,2.415750549394131,ade,ml
41,2.8598555052959505,ade,ml
42,1.3973394107596724,ade,ml
43,1.6943741543994761,ade,ml
44,4.11989165099694,ade,ml
45,0.4963984611807681,ade,ml
46,2.8264893534998095,ade,ml
47,4.621683795825358,ade,ml
48,3.9903579171564236,ade,ml
49,2.558354423774706,ade,ml
50,0.5571186147994903,ade,ml
51,0.4647584345584894,ade,ml
52,1.2022061425867019,ade,ml
53,6.575127566406242,ade,ml
54,4.011871687027563,ade,ml
55,1.6460589486892587,ade,ml
56,0.7534952546371035,ade,ml
57,0.10269312681220766,ade,ml
58,2.6733437800826843,ade,ml
59,0.5585121154948494,ade,ml
60,2.7703714455055235,ade,ml
61,1.914995163261918,ade,ml
62,1.464956478606723,ade,ml
63,0.11125564382523001,ade,ml
64,1.4673992731070922,ade,ml
65,2.4598471062681875,ade,ml
66,2.6203184218920836,ade,ml
67,2.032658749471073,ade,ml
68,2.5269751536007248,ade,ml
69,0.12247377715149162,ade,ml
70,0.8587079140970516,ade,ml
71,0.5744738391323511,ade,ml
72,2.781811097077496,ade,ml
73,3.947237594498274,ade,ml
74,3.2728996046990027,ade,ml
75,0.15971657940002526,ade,ml
76,0.19417691715371235,ade,ml
77,1.4471317945380635,ade,ml
78,0.03605465290142944,ade,ml
79,5.003363507678148,ade,ml
80,6.979467169717908,ade,ml
81,1.1660451846652427,ade,ml
82,0.07111782928925574,ade,ml
83,0.04854987961287114,ade,ml
84,1.0752610919121057,ade,ml
85,0.040264778115795825,ade,ml
86,3.456256196895712,ade,ml
87,2.7218331875258586,ade,ml
88,6.090424587764165,ade,ml
89,0.06297492869488454,ade,ml
90,0.04444275742917128,ade,ml
91,1.5231535733065327,ade,ml
92,0.02728833468721625,ade,ml
93,0.5664506749704402,ade,ml
94,2.6536943829421547,ade,ml
95,3.1339587483780154,ade,ml
96,0.1849487267076387,ade,ml
97,0.23130327754268365,ade,ml
98,1.5713992580809333,ade,ml
99,0.02381818693833297,ade,ml
100,2.257952671877812,ade,ml
101,1.7507594127005948,ade,ml
102,4.674222319974278,ade,ml
103,0.14491694132416408,ade,ml
104,0.3913021497235263,ade,ml
105,3.2361984932570618,ade,ml
106,0.021979016785592137,ade,ml
107,0.7506773869276951,ade,ml
108,0.12121375856324712,ade,ml
109,3.3850254461386577,ade,ml
110,0.3651306313419762,ade,ml
111,0.30475870808509886,ade,ml
112,1.3220424126158405,ade,ml
