,value,metric,type
0,2.368216442340238,fde,ml
1,2.791591221532556,fde,ml
2,2.9872694164863502,fde,ml
3,6.632989682325698,fde,ml
4,2.7992355875486137,fde,ml
5,3.8673150951582196,fde,ml
6,4.548432545233037,fde,ml
7,4.857139781447195,fde,ml
8,7.257515883514146,fde,ml
9,1.1346520319908548,fde,ml
10,1.9639588223489273,fde,ml
11,4.592770687698988,fde,ml
12,3.5280651166572414,fde,ml
13,7.918676257012204,fde,ml
14,6.460870802130402,fde,ml
15,1.6994580586120547,fde,ml
16,0.36466422025544865,fde,ml
17,4.383844275425475,fde,ml
18,0.33964230220319996,fde,ml
19,3.0103066407941954,fde,ml
20,1.7579832545836538,fde,ml
21,0.16354866821229527,fde,ml
22,1.751553409770593,fde,ml
23,7.40214899942957,fde,ml
24,2.0308485900107867,fde,ml
25,2.449754507000389,fde,ml
26,0.32241746379086933,fde,ml
27,1.3216249831109719,fde,ml
28,5.484201352453007,fde,ml
29,1.9477868935222677,fde,ml
30,2.3910417641590573,fde,ml
31,4.225733808039988,fde,ml
32,0.5304631152845483,fde,ml
33,0.5518039390888142,fde,ml
34,5.725798753653496,fde,ml
35,5.843105126857058,fde,ml
36,5.910070964679608,fde,ml
37,6.653345100099813,fde,ml
38,2.786033292501888,fde,ml
39,0.7865147686720612,fde,ml
40,5.066017424864996,fde,ml
41,6.994015863821029,fde,ml
42,4.493294546361719,fde,ml
43,3.266991232241046,fde,ml
44,8.78524773699928,fde,ml
45,0.681883600969163,fde,ml
46,6.414623174904818,fde,ml
47,9.600019452985277,fde,ml
48,9.558451864074236,fde,ml
49,5.949109200467238,fde,ml
50,1.4415019902535364,fde,ml
51,0.611561936931725,fde,ml
52,2.4838933167207924,fde,ml
53,11.69831519060625,fde,ml
54,9.155738389242314,fde,ml
55,4.07320989934463,fde,ml
56,2.5641402073438235,fde,ml
57,0.19655374721263544,fde,ml
58,5.793481755956314,fde,ml
59,0.5740917331246637,fde,ml
60,5.898281678031202,fde,ml
61,4.28433959785191,fde,ml
62,4.2489604600384405,fde,ml
63,0.13471989102872312,fde,ml
64,3.9637663439804274,fde,ml
65,5.397399792005597,fde,ml
66,4.864497551843158,fde,ml
67,4.215584481280054,fde,ml
68,5.661464882411417,fde,ml
69,0.1786876929399154,fde,ml
70,1.4932062451659507,fde,ml
71,1.545264494304956,fde,ml
72,6.286592757828558,fde,ml
73,7.118380276410716,fde,ml
74,7.280999021711052,fde,ml
75,0.10632586760647492,fde,ml
76,0.24667046492310551,fde,ml
77,3.553297121409089,fde,ml
78,0.09807083532471916,fde,ml
79,8.977445159634852,fde,ml
80,14.37559481755892,fde,ml
81,2.133539847000528,fde,ml
