,value,metric,type
0,7.1170045638501005,kde,full
1,-0.40978651858447,kde,full
2,0.304695421499532,kde,full
3,19.3988331678418,kde,full
4,0.4607583902924145,kde,full
5,0.9547550978707464,kde,full
6,3.9579117174801923,kde,full
7,3.326815905228125,kde,full
8,14.838229336582307,kde,full
9,0.16365338546455344,kde,full
10,1.6095872739195265,kde,full
11,4.020559685638803,kde,full
12,1.7543483946802834,kde,full
13,4.745711331192292,kde,full
14,3.571324984372625,kde,full
15,7.040391586828671,kde,full
16,-3.151468458136903,kde,full
17,2.6095350358239546,kde,full
18,0.9196182923031684,kde,full
19,1.6578789007116708,kde,full
20,0.3603882446798151,kde,full
21,-3.1398044149419646,kde,full
22,0.362317090398976,kde,full
23,3.0358426782292454,kde,full
24,1.1797237837012107,kde,full
25,5.168795862628549,kde,full
26,-1.9143706404390233,kde,full
27,3.294149268052977,kde,full
28,1.780295978731644,kde,full
29,2.4668596417961655,kde,full
30,1.8676311895377968,kde,full
31,0.540187852573223,kde,full
32,-0.00033762354137509276,kde,full
33,0.6969848429209576,kde,full
34,0.10856630830962788,kde,full
35,2.0397695288388897,kde,full
36,3.599285781802127,kde,full
37,5.940236657612711,kde,full
38,8.216953658477065,kde,full
39,-0.44351486917147936,kde,full
40,2.992765817729918,kde,full
41,1.695567826282467,kde,full
42,0.7532425007225133,kde,full
43,2.221036026943236,kde,full
44,4.521307756496588,kde,full
45,-0.4312116565141795,kde,full
46,1.9067793039860432,kde,full
47,8.39457651775607,kde,full
48,4.416437586420293,kde,full
49,2.11566006978179,kde,full
50,0.504083051990323,kde,full
51,-0.2083512844072798,kde,full
52,1.2828506052015576,kde,full
53,14.957293963566098,kde,full
54,8.091199778223219,kde,full
55,1.6310667928218603,kde,full
56,0.5029044786027002,kde,full
57,-3.7916419802348256,kde,full
58,2.3499819472829695,kde,full
59,4.0144790665232435,kde,full
60,2.848113019242234,kde,full
61,2.4092325052147965,kde,full
62,4.068775327489963,kde,full
63,-3.656132902757232,kde,full
64,0.45866276005463996,kde,full
65,2.6204769045290375,kde,full
66,2.8191528261096845,kde,full
67,5.786381328383181,kde,full
68,9.142818218473353,kde,full
69,-1.9714960295819008,kde,full
70,0.2563190124709616,kde,full
71,0.5617715133663784,kde,full
72,1.7237045985442965,kde,full
73,3.6121403676895554,kde,full
74,8.690772497028911,kde,full
75,-2.3444593043094786,kde,full
76,-1.4270828237361244,kde,full
77,1.2212266175064181,kde,full
78,-3.5107322773892102,kde,full
79,3.495943165016923,kde,full
80,3.9440100252967216,kde,full
81,2.015597192823904,kde,full
82,-2.8860344680278778,kde,full
83,-2.2901944669188694,kde,full
84,1.8503949506271722,kde,full
85,-4.4106989765679785,kde,full
86,2.1187128569097657,kde,full
87,2.8420573791345856,kde,full
88,20.0,kde,full
89,-2.8775799565423634,kde,full
90,-3.032221779589415,kde,full
91,4.291908804562246,kde,full
92,-4.38239057245191,kde,full
93,-0.008440225964871928,kde,full
94,1.8050235049694279,kde,full
95,3.9870330906915443,kde,full
96,-0.5973579656927891,kde,full
97,-0.1577992933831414,kde,full
98,8.617893922976702,kde,full
99,-4.526454282561085,kde,full
100,3.0633307887771535,kde,full
101,1.0302078911128827,kde,full
102,17.46609828027842,kde,full
103,-1.5122210060749863,kde,full
104,-1.3202176225623834,kde,full
105,3.143854944879002,kde,full
106,-4.68887928169259,kde,full
107,0.2337461513938946,kde,full
108,-1.1072936816282073,kde,full
109,12.24954559114194,kde,full
110,-1.2742086768262342,kde,full
111,-1.5084907459295465,kde,full
112,2.443304837994435,kde,full
113,-4.791672379535338,kde,full
114,2.6100804295524176,kde,full
115,-1.3190070136034513,kde,full
116,-1.1808465690576937,kde,full
117,-1.4020257982621152,kde,full
118,4.960525307392767,kde,full
119,-4.571004899148548,kde,full
120,0.5474241962937839,kde,full
121,0.5928887897954206,kde,full
122,-1.2634593152130529,kde,full
123,-1.2327225801937343,kde,full
124,-0.33600128359679926,kde,full
125,-4.561374833582454,kde,full
126,0.8115152052938892,kde,full
127,0.47931814467150513,kde,full
128,-2.4377438331291534,kde,full
