,value,metric,type
0,0.0,road_viols,full
1,2.0,road_viols,full
2,2.0,road_viols,full
3,2.0,road_viols,full
4,71.0,road_viols,full
5,0.0,road_viols,full
6,2.0,road_viols,full
7,23.0,road_viols,full
8,30.0,road_viols,full
9,1.0,road_viols,full
10,2.0,road_viols,full
11,0.0,road_viols,full
12,2.0,road_viols,full
13,969.0,road_viols,full
14,259.0,road_viols,full
15,1.0,road_viols,full
16,22.0,road_viols,full
17,108.0,road_viols,full
18,8.0,road_viols,full
19,5.0,road_viols,full
20,6.0,road_viols,full
21,19.0,road_viols,full
22,75.0,road_viols,full
23,35.0,road_viols,full
24,0.0,road_viols,full
25,0.0,road_viols,full
26,19.0,road_viols,full
27,67.0,road_viols,full
28,584.0,road_viols,full
29,6.0,road_viols,full
30,1.0,road_viols,full
31,3.0,road_viols,full
32,8.0,road_viols,full
33,17.0,road_viols,full
34,9.0,road_viols,full
35,0.0,road_viols,full
36,554.0,road_viols,full
37,3.0,road_viols,full
38,3.0,road_viols,full
39,84.0,road_viols,full
40,133.0,road_viols,full
41,6.0,road_viols,full
42,1.0,road_viols,full
43,2.0,road_viols,full
44,10.0,road_viols,full
45,53.0,road_viols,full
46,280.0,road_viols,full
47,3.0,road_viols,full
48,1.0,road_viols,full
49,27.0,road_viols,full
50,14.0,road_viols,full
51,38.0,road_viols,full
52,238.0,road_viols,full
53,0.0,road_viols,full
54,0.0,road_viols,full
55,21.0,road_viols,full
56,1.0,road_viols,full
57,24.0,road_viols,full
58,429.0,road_viols,full
59,606.0,road_viols,full
60,2.0,road_viols,full
61,1.0,road_viols,full
62,25.0,road_viols,full
63,21.0,road_viols,full
64,174.0,road_viols,full
65,290.0,road_viols,full
66,1.0,road_viols,full
67,1.0,road_viols,full
68,1.0,road_viols,full
69,32.0,road_viols,full
70,48.0,road_viols,full
71,11.0,road_viols,full
72,14.0,road_viols,full
73,159.0,road_viols,full
74,0.0,road_viols,full
75,24.0,road_viols,full
76,21.0,road_viols,full
77,227.0,road_viols,full
78,8.0,road_viols,full
79,159.0,road_viols,full
80,536.0,road_viols,full
81,47.0,road_viols,full
82,22.0,road_viols,full
83,7.0,road_viols,full
84,9.0,road_viols,full
85,0.0,road_viols,full
86,28.0,road_viols,full
87,376.0,road_viols,full
88,1.0,road_viols,full
89,15.0,road_viols,full
90,11.0,road_viols,full
